Antioquia	Abejorral	5002	0,2	0,25	Alta	0,13	0,07
Norte de Santander	Abrego	54003	0,3	0,2	Alta	0,07	0,04
Antioquia	Abriaquí	5004	0,2	0,25	Alta	0,13	0,07
Meta	Acacias	50006	0,3	0,3	Alta	0,17	0,06
Chocó	Acandí	27006	0,25	0,25	Alta	0,09	0,04
Huila	Acevedo	41006	0,3	0,15	Alta	0,17	0,06
Bolívar	Achí	13006	0,15	0,15	Intermedia	0,07	0,04
Huila	Agrado	41013	0,3	0,15	Alta	0,26	0,08
Cundinamarca	Agua de Dios	25001	0,2	0,2	Intermedia	0,11	0,06
Cesar	Aguachica	20011	0,15	0,15	Intermedia	0,08	0,04
Santander	Aguada	68013	0,15	0,2	Intermedia	0,17	0,09
Caldas	Aguadas	17013	0,25	0,25	Alta	0,2	0,1
Casanare	Aguazul	85010	0,3	0,2	Alta	0,14	0,06
Cesar	Agustín Codazzi	20013	0,1	0,1	Baja	0,07	0,04
Huila	Aipe	41016	0,25	0,25	Alta	0,14	0,05
Cundinamarca	Albán	25019	0,15	0,2	Intermedia	0,16	0,06
Nariño	Albán.	52019	0,25	0,25	Alta	0,16	0,08
Santander	Albania	68020	0,15	0,15	Intermedia	0,09	0,06
Caquetá	Albania.	18029	0,15	0,15	Intermedia	0,06	0,04
Guajira	Albania..	44035	0,1	0,1	Baja	0,08	0,04
Valle del Cauca	Alcalá	76020	0,25	0,25	Alta	0,16	0,1
Nariño	Aldana	52022	0,25	0,25	Alta	0,14	0,08
Antioquia	Alejandría	5021	0,15	0,2	Intermedia	0,09	0,05
Magdalena	Algarrobo	47030	0,1	0,1	Baja	0,05	0,02
Huila	Algeciras	41020	0,3	0,2	Alta	0,2	0,08
Cauca	Almaguer	19022	0,25	0,25	Alta	0,16	0,08
Boyacá	Almeida	15022	0,25	0,25	Alta	0,16	0,08
Tolima	Alpujarra	73024	0,25	0,25	Alta	0,14	0,07
Huila	Altamira	41026	0,3	0,15	Alta	0,2	0,08
Chocó	Alto Baudó	27025	0,4	0,4	Alta	0,24	0,1
