Cundinamarca	Lenguazaque	25407	0,15	0,2	Intermedia	0,09	0,05
Tolima	Lérida	73408	0,2	0,2	Intermedia	0,11	0,06
Amazonas	Leticia	91001	0,05	0,05	Baja	0,04	0,02
Tolima	Líbano	73411	0,2	0,2	Intermedia	0,12	0,07
Antioquia	Liborina	5411	0,15	0,2	Intermedia	0,14	0,07
Nariño	Linares	52411	0,25	0,25	Alta	0,16	0,08
Chocó	Lloró	27413	0,4	0,35	Alta	0,24	0,1
Cauca	López	19418	0,4	0,3	Alta	0,14	0,07
Córdoba	Lorica	23417	0,1	0,15	Intermedia	0,05	0,03
Nariño	Los Andes	52418	0,3	0,3	Alta	0,12	0,07
Córdoba	Los Córdobas	23419	0,1	0,2	Intermedia	0,08	0,05
Sucre	Los Palmitos	70418	0,1	0,15	Intermedia	0,05	0,04
Norte de Santander	Los Patios	54405	0,35	0,3	Alta	0,22	0,09
Santander	Los Santos	68418	0,2	0,25	Alta	0,11	0,08
Norte de Santander	Lourdes	54418	0,3	0,25	Alta	0,11	0,05
Atlántico	Luruaco	8421	0,1	0,1	Baja	0,04	0,02
Boyacá	Macanal	15425	0,25	0,25	Alta	0,16	0,08
Santander	Macaravita	68425	0,25	0,25	Alta	0,12	0,06
Antioquia	Maceo	5425	0,15	0,2	Intermedia	0,11	0,06
Cundinamarca	Machetá	25426	0,2	0,25	Alta	0,13	0,06
Cundinamarca	Madrid	25430	0,15	0,2	Intermedia	0,1	0,06
Bolívar	Magangue	13430	0,1	0,15	Intermedia	0,04	0,03
Nariño	Magüí	52427	0,4	0,35	Alta	0,16	0,08
Bolívar	Mahates	13433	0,1	0,1	Baja	0,08	0,03
Guajira	Maicao	44430	0,1	0,15	Intermedia	0,07	0,04
Sucre	Majagual	70429	0,15	0,15	Intermedia	0,04	0,04
Santander	Málaga	68432	0,25	0,25	Alta	0,09	0,05
Atlántico	Malambo	8433	0,1	0,1	Baja	0,06	0,03
Nariño	Mallama	52435	0,3	0,25	Alta	0,16	0,08
Atlántico	Manatí	8436	0,1	0,1	Baja	0,06	0,03
Cesar	Manaure	20443	0,1	0,1	Baja	0,08	0,04
Guajira	Manaure.	44560	0,1	0,15	Intermedia	0,07	0,04
Casanare	Maní	85139	0,1	0,15	Intermedia	0,04	0,02
Caldas	Manizales	17001	0,25	0,25	Alta	0,2	0,1
Cundinamarca	Manta	25436	0,2	0,25	Alta	0,15	0,06
Caldas	Manzanares	17433	0,2	0,2	Intermedia	0,2	0,1
Meta	Mapiripán	50325	0,05	0,05	Baja	0,02	0,02
Guainía	Mapiripaná	94663	0,05	0,05	Baja	0,04	0,02
Bolívar	Margarita	13440	0,1	0,1	Baja	0,05	0,03
Bolívar	María la Baja	13442	0,1	0,15	Intermedia	0,07	0,03
Antioquia	Marinilla	5440	0,15	0,2	Intermedia	0,11	0,06
Boyacá	Maripí	15442	0,2	0,15	Intermedia	0,13	0,07
Tolima	Mariquita	73443	0,2	0,2	Intermedia	0,11	0,07
Caldas	Marmato	17442	0,25	0,25	Alta	0,2	0,1
Caldas	Marquetalia	17444	0,2	0,2	Intermedia	0,17	0,08
Risaralda	Marsella	66440	0,25	0,25	Alta	0,2	0,1
Caldas	Marulanda	17446	0,2	0,25	Alta	0,18	0,09
Santander	Matanza	68444	0,25	0,25	Alta	0,1	0,06
Antioquia	Medellín	5001	0,15	0,2	Intermedia	0,13	0,07
Cundinamarca	Medina	25438	0,35	0,25	Alta	0,16	0,06
Chocó	Medio Atrato	27425	0,35	0,35	Alta	0,24	0,1
Chocó	Medio Baudó	27430	0,45	0,4	Alta	0,24	0,1
Chocó	Medio San Juan	27450	0,4	0,4	Alta	0,24	0,1
Tolima	Melgar	73449	0,2	0,2	Intermedia	0,09	0,05
Cauca	Mercaderes	19450	0,25	0,25	Alta	0,15	0,08
Meta	Mesetas	50330	0,2	0,25	Alta	0,07	0,03
Caquetá	Milán	18460	0,05	0,15	Intermedia	0,04	0,02
Guaviare	Miraflores	95200	0,05	0,05	Baja	0,04	0,02
Boyacá	Miraflores.	15455	0,2	0,25	Alta	0,16	0,08
Cauca	Miranda	19455	0,25	0,2	Alta	0,13	0,06
Amazonas	Mirití-Paraná	91460	0,05	0,05	Baja	0,04	0,02
