Cundinamarca	Gachancipá	25295	0,15	0,2	Intermedia	0,09	0,05
Boyacá	Gachantiva	15293	0,15	0,2	Intermedia	0,09	0,05
Cundinamarca	Gachetá	25297	0,2	0,25	Alta	0,15	0,06
Santander	Galán	68296	0,15	0,2	Intermedia	0,2	0,1
Atlántico	Galapa	8296	0,1	0,1	Baja	0,05	0,03
Sucre	Galeras	70235	0,1	0,15	Intermedia	0,04	0,03
Cundinamarca	Gama	25299	0,25	0,25	Alta	0,16	0,06
Cesar	Gamarra	20295	0,15	0,15	Intermedia	0,08	0,04
Santander	Gámbita	68298	0,2	0,2	Intermedia	0,07	0,05
Boyacá	Gámeza	15296	0,25	0,25	Alta	0,16	0,08
Boyacá	Garagoa	15299	0,25	0,3	Alta	0,16	0,08
Huila	Garzón	41298	0,3	0,15	Alta	0,2	0,07
Quindío	Génova	63302	0,25	0,2	Alta	0,2	0,09
Huila	Gigante	41306	0,3	0,15	Alta	0,2	0,08
Valle del Cauca	Ginebra	76306	0,25	0,2	Alta	0,11	0,07
Antioquia	Giraldo	5306	0,2	0,25	Alta	0,12	0,07
Cundinamarca	Girardot	25307	0,2	0,2	Intermedia	0,12	0,06
Antioquia	Girardota	5308	0,15	0,2	Intermedia	0,11	0,06
Santander	Girón	68307	0,2	0,25	Alta	0,18	0,1
Santander	Goepsa	68327	0,15	0,2	Intermedia	0,09	0,06
Antioquia	Gómez Plata	5310	0,15	0,2	Intermedia	0,08	0,04
Cesar	González	20310	0,2	0,15	Intermedia	0,08	0,04
Norte de Santander	Gramalote	54313	0,3	0,25	Alta	0,11	0,05
Meta	Granada	50313	0,2	0,25	Alta	0,07	0,03
Cundinamarca	Granada,	25312	0,15	0,2	Intermedia	0,1	0,05
Antioquia	Granada.	5313	0,15	0,2	Intermedia	0,1	0,05
Santander	Guaca	68318	0,25	0,25	Alta	0,09	0,05
Boyacá	Guacamayas	15317	0,25	0,25	Alta	0,18	0,08
Valle del Cauca	Guacarí	76318	0,25	0,25	Alta	0,12	0,08
Cundinamarca	Guachetá	25317	0,15	0,15	Intermedia	0,08	0,05
Nariño	Guachucal	52317	0,25	0,25	Alta	0,16	0,08
Huila	Guadalupe	41319	0,3	0,15	Alta	0,16	0,06
Santander	Guadalupe,	68320	0,15	0,2	Intermedia	0,16	0,09
Antioquia	Guadalupe.	5315	0,15	0,2	Intermedia	0,08	0,04
Cundinamarca	Guaduas	25320	0,15	0,2	Intermedia	0,15	0,06
Nariño	Guaitarilla	52320	0,25	0,25	Alta	0,13	0,08
Nariño	Gualmatán	52323	0,25	0,25	Alta	0,12	0,07
Meta	Guamal	50318	0,35	0,25	Alta	0,28	0,08
Magdalena	Guamal.	47318	0,1	0,1	Baja	0,04	0,02
Tolima	Guamo	73319	0,25	0,2	Alta	0,11	0,06
Cauca	Guapí	19318	0,4	0,35	Alta	0,14	0,08
Santander	Guapotá	68322	0,15	0,2	Intermedia	0,12	0,08
Sucre	Guarandá	70265	0,15	0,15	Intermedia	0,06	0,05
Antioquia	Guarne	5318	0,15	0,2	Intermedia	0,12	0,06
Cundinamarca	Guasca	25322	0,15	0,25	Alta	0,11	0,05
Antioquia	Guatapé	5321	0,15	0,2	Intermedia	0,1	0,05
Cundinamarca	Guataquí	25324	0,2	0,2	Intermedia	0,16	0,06
Cundinamarca	Guatavita	25326	0,15	0,2	Intermedia	0,11	0,05
Boyacá	Guateque	15322	0,2	0,25	Alta	0,16	0,07
Risaralda	Guática	66318	0,25	0,3	Alta	0,2	0,1
Santander	Guavatá	68324	0,15	0,15	Intermedia	0,1	0,06
Cundinamarca	Guayabal de Síquima	25328	0,15	0,2	Intermedia	0,16	0,06
Cundinamarca	Guayabetal	25335	0,3	0,25	Alta	0,16	0,06
Boyacá	Guayatá	15325	0,25	0,25	Alta	0,16	0,08
Boyacá	Guicán	15332	0,3	0,3	Alta	0,16	0,08
Cundinamarca	Gutiérrez	25339	0,25	0,25	Alta	0,16	0,06
Norte de Santander	Hacarí	54344	0,25	0,2	Alta	0,06	0,03
Bolívar	Hatillo de Loba	13300	0,15	0,1	Intermedia	0,05	0,03
Santander	Hato	68344	0,15	0,2	Intermedia	0,21	0,1
Casanare	Hato Corozal	85125	0,15	0,15	Intermedia	0,08	0,04
Guajira	Hatonuevo	44378	0,15	0,1	Intermedia	0,08	0,04
Antioquia	Heliconia	5347	0,15	0,25	Alta	0,16	0,08
